category,maker,year,registrations
3W,CASE EQUIPMENT PRIVATE LTD,2015,0
3W,CATERPILLAR INDIA PRIVATE LIMITED,2015,0
3W,CEEON INDIA,2015,0
3W,CELLETRON MOTOR WORKS,2015,0
3W,CENTURY MOTORS PVT LTD,2015,0
3W,CHAMPION POLY PLAST,2015,0
LMV,CHAMPION POLY PLAST,2015,0
3W,CHANDAKE-AUTOMOBILES LLP,2015,0
2W,CHANDANA CORPORATION,2015,0
3W,CHANGZHOU YEFEND VEHICLE CO,2015,0
3W,CHARUVIKRAM AUTOMOBILE PVT LTD,2015,0
3W,CHATELEC VEHICLES INDIA LTD,2015,0
LMV,CHATELEC VEHICLES INDIA LTD,2015,0
3W,CHAUHAN AUTO INDUSTRIES,2015,0
3W,CHEHAK BATTERIES,2015,0
2W,CHETAK TECHNOLOGY LIMITED,2015,0
3W,CHEVROLET SALES INDIA PVT LTD,2015,0
2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2015,0
2W,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2015,0
3W,CHIRAG ENTERPRISES,2015,0
2W,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,2015,0
2W,CHONGQING YU AN GROUP,2015,0
3W,CITADEL ENTERPRISES(OPC) PVT LTD,2015,0
3W,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2015,0
3W,CLAAS INDIA P LTD,2015,0
3W,CLENERGY INNOVATIONS PVT LTD,2015,0
3W,CLH GASEOUS FUEL APPL PVT LTD,2015,4
LMV,CLH GASEOUS FUEL APPL PVT LTD,2015,0
LMV,CNH INDUSTRIAL (INDIA) PVT LTD,2015,0
3W,CONTINENTAL ENGINES PVT LTD,2015,0
LMV,CONTINENTAL ENGINES PVT LTD,2015,0
3W,CREATIVE ENGINEERINGS,2015,0
3W,CYRUS AUTO INDUSTRIES PVT LTD,2015,0
3W,D S INDUSTRIES,2015,0
3W,D S R AUTOMOTIVES (INDIA) PVT LTD,2015,0
3W,D.K. MOTORS,2015,0
3W,DAEWOO MOTORS INDIA LTD,2015,0
LMV,DAIMLER AG,2015,0
3W,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2015,0
3W,DAKSH INDUSTRIES,2015,0
3W,DALIAN FORKLIFT CO.,2015,0
2W,DAO EVTECH PRIVATE LIMITED,2015,0
3W,DASHMESH MECH WORKS PVT LTD,2015,0
3W,DASHMESH TRADERS,2015,0
3W,DAVE EXIM PVT LTD,2015,0
3W,DD AUTO PVT LTD,2015,0
3W,DE EUSI MOTORS PVT LTD.,2015,0
3W,DEEP DRAWN TECHNOLOGIES,2015,0
3W,DEEPTI SMART MOBILITY PVT LTD,2015,0
3W,DELHI AUTOMOBILES LTD,2015,0
3W,DELTA AUTOCORP LLP,2015,0
3W,DELTEK ENTERPRISES PVT LTD,2015,0
3W,DESMOTO ELECTRICS PVT LTD,2015,0
3W,DEV MOTORS,2015,0
3W,DEVAM ELECTRIC VEH P L,2015,1
3W,DEVAM ELECTRIC VEHICLES PVT LTD,2015,0
3W,DHAR IN PVT LTD,2015,0
3W,DHAR INTERNATIONAL,2015,0
LMV,DHARMAND TRAILERS,2015,1
3W,DHRITI ENTERPRISES,2015,0
3W,DIAMOND E VEHICLES,2015,0
LMV,"DIAMOND ENGG,CTC",2015,0
3W,DILIGENT MOBILITY SERVICE PVT LTD,2015,0
3W,DILIP CHHABRIA DESIGN PVT LTD,2015,0
2W,DILLI ELECTRIC AUTO PVT LTD,2015,0
3W,DILLI ELECTRIC AUTO PVT LTD,2015,16
LMV,DILLI ELECTRIC AUTO PVT LTD,2015,0
3W,DIVANSHU AUTOMOBILES LIMITED,2015,0
3W,DIVANSU AUTOMOBILES LTD,2015,0
3W,DIVYA AUTOMOBILES,2015,0
3W,DIVYA ENTERPRISES,2015,0
MMV,DIVYA INDUSTRIES,2015,1
3W,DIWA GREEN TECHNOLOGY PVT LTD,2015,0
